flightTime, velocityX, velocityY, distanceX, distanceY
1.440000, 414.672669, -5.563884, 857.973246, -5.563884
1.450000, 413.121038, -5.641165, 862.112214, -5.641165
1.460000, 411.583843, -5.718274, 866.235739, -5.718274
1.470000, 410.061002, -5.795217, 870.343963, -5.795217
1.480000, 408.552438, -5.871997, 874.437030, -5.871997
1.490000, 407.058077, -5.948619, 878.515083, -5.948619
1.500000, 405.577848, -6.025087, 882.578262, -6.025087
1.510000, 404.111679, -6.101407, 886.626710, -6.101407
1.520000, 402.659499, -6.177581, 890.660566, -6.177581
1.530000, 401.221234, -6.253615, 894.679970, -6.253615
1.540000, 399.796810, -6.329514, 898.685060, -6.329514
1.550000, 398.386153, -6.405280, 902.675975, -6.405280
1.560000, 396.989187, -6.480920, 906.652851, -6.480920
1.570000, 395.605835, -6.556436, 910.615826, -6.556436
1.580000, 394.236019, -6.631834, 914.565036, -6.631834
1.590000, 392.879660, -6.707118, 918.500614, -6.707118
1.600000, 391.536678, -6.782291, 922.422696, -6.782291
1.610000, 390.206992, -6.857358, 926.331414, -6.857358
1.620000, 388.890521, -6.932322, 930.226902, -6.932322
1.630000, 387.587181, -7.007189, 934.109290, -7.007189
1.640000, 386.296889, -7.081962, 937.978711, -7.081962
1.650000, 385.019560, -7.156645, 941.835293, -7.156645
1.660000, 383.755108, -7.231241, 945.679166, -7.231241
1.670000, 382.503446, -7.305756, 949.510459, -7.305756
1.680000, 381.264487, -7.380192, 953.329299, -7.380192
1.690000, 380.038142, -7.454553, 957.135812, -7.454553
1.700000, 378.824323, -7.528844, 960.930124, -7.528844
1.710000, 377.622939, -7.603067, 964.712360, -7.603067
1.720000, 376.433899, -7.677227, 968.482645, -7.677227
1.730000, 375.257113, -7.751327, 972.241100, -7.751327
1.740000, 374.092487, -7.825371, 975.987848, -7.825371
1.750000, 372.939930, -7.899361, 979.723010, -7.899361
1.760000, 371.799348, -7.973302, 983.446706, -7.973302
1.770000, 370.670647, -8.047197, 987.159056, -8.047197
1.780000, 369.553733, -8.121049, 990.860178, -8.121049
1.790000, 368.448511, -8.194861, 994.550189, -8.194861
1.800000, 367.354887, -8.268637, 998.229206, -8.268637
1.810000, 366.272764, -8.342380, 1001.897344, -8.342380
